,approximate_entropy,sample_entrpy,fuzzy_entropy,permutation_entropy,spectral_entropy,dispersion_entropy,increment_entropy,phase_entropy,slope_entropy,label
0,0.4925884869818642,0.34044640976049034,0.021454131231745777,0.9757606417025204,0.5326534593171737,1.4677093179786767,4.156219032337628,0.8717651102371078,0.37401455265200434,0
1,0.15254901466456672,0.04955889334255448,0.023901032114936105,0.8238116333123173,0.3637009070336926,0.8029639413485032,3.1155754319347295,0.8687140568837878,0.3274608388546585,0
2,0.22923193509541373,0.07358172097943887,0.027333856003487145,0.8155110415520288,0.4108656001007738,1.2611511054617812,3.23575848098874,0.8847510302651478,0.3559370593390101,0
3,0.1969226544712228,0.02443835570070787,0.007077383079387989,0.7197723375750571,0.6166426800862382,0.9653118026626457,2.2331499318641668,0.7889078885775818,0.22656097339954606,0
4,0.19549848814791604,0.049810878442296036,0.025497380868624075,0.7800674906160965,0.4942325811892114,1.2264134129076836,3.017925158378191,0.9057436059092894,0.3495548496202301,0
5,0.30789652475815465,0.07556040523403683,0.028623166568208958,0.8621031766268068,0.44480848221817676,1.3723345672836682,3.6840259109027076,0.8817077476057738,0.4043622074645975,0
6,0.3512683015402054,0.24231346742192997,0.02872742330301481,0.9592480511970876,0.4974343322180083,1.2912956685145882,3.994131325037954,0.7746397087236114,0.45605933102105045,0
7,0.44972847749942746,0.3745968450844791,0.02000977886988642,0.9811522341999133,0.38024739749059494,1.4775716123276574,4.335104283599486,0.8811522628389837,0.34098695691359954,0
8,0.11462353379128598,0.0718257345712555,0.016092070277624493,0.9629004147713269,0.5417884059801319,1.1025297385343578,4.304742324001123,0.8947891182490562,0.4502511833788139,0
9,0.09830211885177254,0.030558806661948424,0.02856883245267372,0.7088356733321961,0.3875417984307554,0.7700053047772424,2.6314756414904688,0.8663552391540329,0.29894079652728517,0
10,0.2750096534975053,0.09629427042007309,0.021293521719054298,0.9182958340544896,0.6859625626515837,1.332076414374239,3.546777466469435,0.8439617245624085,0.3495548496202301,0
11,0.07377528913539111,0.033805033566396185,0.008558313394328665,1.0,0.35215992763038306,1.2185112072742235,3.868338612737023,0.7631101959316844,0.29082372661154887,0
12,0.11756223125392817,0.04455750919497138,0.025741898839349964,0.7982441335646699,0.3204425213068319,0.8118948985192942,3.2421653298940143,0.7699676264269075,0.19791093174211646,0
13,0.13343196663085788,0.09986662348089116,0.028363619740857993,0.9235785996175947,0.7782636180694597,0.2857631381192555,3.8061896709797893,0.8036287202193723,0.35437526334194935,0
14,0.34099310940479066,0.06980826013892533,0.02793715720108636,0.9235785996175947,0.5906170648038856,1.412828553483389,3.546363517373732,0.8226937876394423,0.37994682710232824,0
15,0.17104054118008438,0.05363679579741417,0.027797392981672275,0.8397622740178035,0.3581465623189979,0.8407804594318617,2.969936082468018,0.8608549562189096,0.35437526334194935,0
16,0.12168673599514901,0.03889273513480708,0.04223835959613642,0.7304472862481346,0.40126200071183804,0.7706907345909474,2.6224355906898844,0.8273535899797192,0.35437526334194935,0
17,0.21715420936669982,0.05387298994015163,0.027178322323178628,0.8621031766268068,0.4290470347178912,1.3907202124091325,3.3093524272979753,0.8739116056378955,0.3828074129928631,0
18,0.2345986075351787,0.15469371540943255,0.023941205868618698,0.9663770070695503,0.6913266501259351,1.241204012277095,3.953064992882023,0.8737406880727493,0.4043622074645975,0
19,0.1319104658660446,0.05026183478088831,0.019592895083897388,0.8826013308449943,0.550427920526314,1.2652217172730245,3.6573780459173064,0.7530582046277442,0.35437526334194935,0
20,0.35734389822267154,0.1545561537304315,0.020722008665744918,0.9592480511970876,0.6476858868067764,1.3304193132360302,3.782425319442715,0.8505580265108524,0.37994682710232824,0
21,0.15977974556596863,0.1193779876258543,0.023320855363044846,0.9959094138937686,0.6985021905002583,0.8462391547817244,4.242566679883825,0.8487229860995178,0.3495548496202301,0
22,0.3011248587155775,0.2504803303094517,0.027770529547594958,0.9969954265557697,0.35264432998877787,1.5118336032889634,4.57413164864322,0.8436536128305374,0.31648318304838735,0
23,0.30538215364221766,0.0747524266453183,0.028992405371250474,0.8318944147250347,0.4742585768990902,1.0921752913925942,3.200126511118468,0.887508751970517,0.3828074129928631,0
24,0.16565247803052308,0.05092668098759735,0.05845636307293256,0.9286751810936653,0.6117734436244168,1.4701779448344006,3.7252025580541313,0.8462597204600367,0.4827508537811697,0
25,0.3040986110650974,0.09736785091379091,0.02083769792230261,0.9182958340544896,0.3844228435229679,1.3441361655245863,3.525896785446207,0.8376125142300407,0.39745783910360666,0
