,phase_entropy,dispersion_entropy,approximate_entropy,fuzzy_entropy,label
0,0.8717651102371078,1.4677093179786769,0.4925884869818642,0.0214541312317457,0
1,0.8687140568837878,0.8029639413485032,0.1525490146645667,0.0239010321149361,0
2,0.8847510302651478,1.2611511054617812,0.2292319350954137,0.0273338560034871,0
3,0.7889078885775818,0.9653118026626456,0.1969226544712228,0.0070773830793879,0
4,0.9057436059092894,1.2264134129076836,0.195498488147916,0.025497380868624,0
5,0.8817077476057738,1.3723345672836682,0.3078965247581546,0.0286231665682089,0
6,0.7746397087236114,1.2912956685145882,0.3512683015402054,0.0287274233030148,0
7,0.8811522628389837,1.4775716123276574,0.4497284774994274,0.0200097788698864,0
8,0.8947891182490562,1.1025297385343578,0.1146235337912859,0.0160920702776244,0
9,0.8663552391540329,0.7700053047772424,0.0983021188517725,0.0285688324526737,0
10,0.8439617245624085,1.332076414374239,0.2750096534975053,0.0212935217190542,0
11,0.7631101959316844,1.2185112072742237,0.0737752891353911,0.0085583133943286,0
12,0.7699676264269075,0.8118948985192942,0.1175622312539281,0.0257418988393499,0
13,0.8036287202193723,0.2857631381192555,0.1334319666308578,0.0283636197408579,0
14,0.8226937876394423,1.412828553483389,0.3409931094047906,0.0279371572010863,0
15,0.8608549562189096,0.8407804594318617,0.1710405411800843,0.0277973929816722,0
16,0.8273535899797192,0.7706907345909474,0.121686735995149,0.0422383595961364,0
17,0.8739116056378955,1.3907202124091325,0.2171542093666998,0.0271783223231786,0
18,0.8737406880727493,1.241204012277095,0.2345986075351787,0.0239412058686186,0
19,0.7530582046277442,1.2652217172730245,0.1319104658660446,0.0195928950838973,0
20,0.8505580265108524,1.3304193132360302,0.3573438982226715,0.0207220086657449,0
21,0.8487229860995178,0.8462391547817244,0.1597797455659686,0.0233208553630448,0
22,0.8436536128305374,1.5118336032889634,0.3011248587155775,0.0277705295475949,0
23,0.887508751970517,1.0921752913925942,0.3053821536422176,0.0289924053712504,0
24,0.8462597204600367,1.4701779448344006,0.165652478030523,0.0584563630729325,0
25,0.8376125142300407,1.3441361655245865,0.3040986110650974,0.0208376979223026,0
26,0.822453071221493,0.2857631381192555,0.1309979659500342,0.0287770645846509,0
27,0.8851818428819533,0.9809013552682556,0.1972440749175084,0.0328045650958668,0
28,0.8549789748189386,1.19515412337933,0.2904634342921761,0.0249312549440512,0
29,0.8263252572067102,0.9729242363692212,0.1841294146501231,0.030018434336872,0
30,0.8155910819608797,1.459082282831895,0.3395417224206443,0.0250226541327653,0
31,0.8768740665638822,1.0555865935314244,0.1308722214899589,0.0316477045834813,0
32,0.8282419997018002,1.3145191115606325,0.3977958660901812,0.0272001491449765,0
33,0.8609926695270084,1.2056226795699556,0.1872458117288202,0.0282635731530082,0
34,0.8458027765221087,1.336045637362531,0.3474954640037393,0.0272481010472698,0
35,0.8562861221545842,1.3203656869941065,0.3200658392247999,0.0259564210603199,0
36,0.8659008635054355,1.2305032813961077,0.308068156275038,0.0233631237801767,0
37,0.8357844199086908,1.370251273572908,0.1557143418232114,0.0231446672534355,0
38,0.887163182874236,1.2137981779949425,0.3120982234893206,0.0256409416761392,0
39,0.824488022571519,0.9244686706703826,0.102046742153582,0.0240272019600081,0
40,0.9006264174120834,1.070989521329862,0.2807332776325553,0.0263232102095642,0
41,0.8588767736395548,1.4151676204205723,0.3914834456243943,0.0358810846338601,0
42,0.7440198902502587,1.841424350005812,0.532406756121631,0.0420048942662639,0
