,participant_id,approximate_entropy,fuzzy_entropy,permutation_entropy,spectral_entropy,dispersion_entropy,increment_entropy,phase_entropy,slope_entropy,label
0,old_1,1.8895639841296052e-02,0.002215539652814291,0.9819407868640976,0.3069041896590526,2.0592293789763123,3.7254805569978675,0.8161518680470614,-0.0,old_general
1,old_1,0.018895639841296052,0.0009338708889713443,0.9494520153879487,0.305605324811701,1.8224566865052347,3.4613201402110083,0.5639986698971221,-0.0,old_general
2,old_1,0.09185850095286963,0.0018971297043496316,0.9819407868640976,0.3053573813488241,2.1143081309515277,3.6143694458867563,0.8255949175928329,-0.0,old_general
3,old_1,0.37071439854700694,0.008119196903256909,0.9980008838722996,0.3074374498748768,1.864236936416466,3.239097917988786,0.8318943823671455,0.2974722489192897,old_general
4,old_1,0.018895639841296052,0.0006114265446744982,0.9819407868640976,0.30579039676274566,1.8678801716292002,3.7254805569978675,0.816699125087131,-0.0,old_general
5,old_1,0.11939787694047777,0.0014852773460649615,0.9819407868640976,0.3065069930251482,1.9408430327407735,3.4193819456463714,0.7100127869689313,-0.0,old_general
6,old_1,-0.05406722127027663,0.00134273618324654,0.9980008838722996,0.30622504277779894,1.8499960624928424,3.8365916681089787,0.7472627892309865,-0.0,old_general
7,old_1,-0.05406722127027663,0.000704835947422211,0.9819407868640976,0.30543121224546993,2.0592293789763123,3.4613201402110083,0.6996863088897212,-0.0,old_general
8,old_1,-0.05406722127027663,0.0010021622032578836,0.9494520153879487,0.3062280938494956,2.1321922400878854,3.350209029099897,0.7735591401989866,-0.0,old_general
9,old_1,0.018895639841296052,0.0020151571585153016,0.9980008838722996,0.30570715383830227,1.9683824087283812,3.5724312513221195,0.7722557105904334,-0.0,old_general
10,old_1,0.018895639841296052,0.0015998551122463622,0.9980008838722996,0.30605718318736375,2.159731616075493,3.6143694458867563,0.7692287056934931,-0.0,old_general
11,old_1,0.018895639841296052,0.0011581338315946876,0.9980008838722996,0.306303844981738,1.885764280765558,3.4613201402110083,0.7305729634344488,-0.0,old_general
12,old_1,0.018895639841296052,0.0013394783423893442,0.9819407868640976,0.3066826357825042,1.7398385585424117,3.350209029099897,0.5336157329566404,-0.0,old_general
13,old_1,0.018895639841296052,0.0008992927403536077,0.9819407868640976,0.30609046963905273,2.159731616075493,3.4193819456463714,0.849857018362638,-0.0,old_general
14,old_1,0.018895639841296052,0.0008030514418219115,0.9819407868640976,0.3068326666572745,1.8403407956415925,3.572431251322119,0.8448657710116501,-0.0,old_general
15,old_1,0.018895639841296052,0.0011483511994245799,0.9494520153879487,0.3058125956023874,2.1321922400878854,3.2810361125534233,0.7514740991029144,-0.0,old_general
16,old_1,-0.05406722127027663,0.0016116658689740992,0.9980008838722996,0.3063442276844439,1.836697560428858,3.5304930567574826,0.7742927583222162,-0.0,old_general
17,old_1,-0.05406722127027663,0.0011677055213138443,0.9819407868640976,0.3063261957049052,2.08676875496392,3.6835423624332306,0.8105650038720277,-0.0,old_general
18,old_1,0.11534438465650121,0.0006186388519309194,0.8997437586982626,0.30518365676546166,1.927544530676789,2.974937501201927,0.9668334907092911,-0.0,old_general
19,old_1,0.018895639841296052,0.0011183425611502873,0.9980008838722996,0.3057033455235876,2.08676875496392,3.7254805569978675,0.8222727088042654,-0.0,old_general
20,old_1,0.09185850095286963,0.0009514358749448393,0.9980008838722996,0.3063634741346282,2.1321922400878854,3.8365916681089787,0.8208650945130964,-0.0,old_general
21,old_1,0.018895639841296052,0.0005551091971178757,0.9819407868640976,0.30600448664916935,1.785262043666377,3.4613201402110083,0.7988954083239062,-0.0,old_general
22,old_1,0.09185850095286963,0.0012547429435828539,0.9494520153879487,0.3068794615619203,1.9550839066643966,3.8365916681089787,0.6598557714057083,-0.0,old_general
23,old_1,-0.05406722127027663,0.0012947485234149347,0.9980008838722996,0.30597287001096696,1.9826232826520045,3.7254805569978675,0.7764639783982505,-0.0,old_general
24,old_1,-0.05406722127027663,0.0015916805334410533,0.9819407868640976,0.30735556035600403,1.9275445306767889,3.6143694458867563,0.6232295318636611,-0.0,old_general
25,old_1,0.1923607380520509,0.0014522474134386343,0.8997437586982626,0.3060210771249457,1.6489915882944806,3.6835423624332306,0.6044035010187465,-0.0,old_general
26,old_1,0.16482136206444276,0.0016445605475911007,0.9980008838722996,0.3044192307886671,1.8403407956415925,3.94770277922009,0.7358714740566829,-0.0,old_general
27,old_1,0.018895639841296052,0.001397083430362156,0.9819407868640976,0.3058122891454825,1.8678801716292004,3.5724312513221195,0.8109464676932908,-0.0,old_general
