,time,gait,participant_id,label
0,30.797,1.023,old_1,old_general
1,31.82,1.03,old_1,old_general
2,32.85,1.017,old_1,old_general
3,33.867,1.027,old_1,old_general
4,34.893,1.043,old_1,old_general
5,35.937,1.027,old_1,old_general
6,36.963,1.007,old_1,old_general
7,37.97,1.047,old_1,old_general
8,39.017,1.033,old_1,old_general
9,40.05,1.043,old_1,old_general
10,41.093,1.017,old_1,old_general
11,42.11,1.023,old_1,old_general
12,43.133,1.027,old_1,old_general
13,44.16,1.037,old_1,old_general
14,45.197,1.003,old_1,old_general
15,46.2,1.007,old_1,old_general
16,47.207,1.037,old_1,old_general
17,48.243,1.02,old_1,old_general
18,49.263,1.007,old_1,old_general
19,50.27,1.067,old_1,old_general
20,51.337,1.023,old_1,old_general
21,52.36,1.023,old_1,old_general
22,53.383,1.017,old_1,old_general
23,54.4,1.023,old_1,old_general
24,55.423,1.03,old_1,old_general
25,56.453,1.017,old_1,old_general
26,57.47,1.02,old_1,old_general
27,58.49,1.01,old_1,old_general
28,59.5,1.017,old_1,old_general
29,60.517,1.023,old_1,old_general
30,61.54,1.007,old_1,old_general
31,62.547,1.047,old_1,old_general
32,63.593,1.05,old_1,old_general
33,64.643,1.037,old_1,old_general
34,65.68,1.037,old_1,old_general
35,66.717,1.057,old_1,old_general
36,67.773,1.03,old_1,old_general
37,68.803,1.033,old_1,old_general
38,69.837,1.033,old_1,old_general
39,70.87,1.017,old_1,old_general
40,71.887,1.007,old_1,old_general
41,72.893,1.02,old_1,old_general
42,73.913,1.047,old_1,old_general
43,74.96,1.02,old_1,old_general
44,75.98,1.033,old_1,old_general
45,77.013,1.047,old_1,old_general
46,78.06,1.013,old_1,old_general
47,79.073,1.03,old_1,old_general
48,80.103,1.037,old_1,old_general
49,81.14,1.013,old_1,old_general
50,82.153,1.05,old_1,old_general
51,83.203,1.037,old_1,old_general
52,84.24,1.083,old_1,old_general
53,85.323,1.067,old_1,old_general
54,86.39,1.047,old_1,old_general
55,87.437,1.04,old_1,old_general
56,88.477,1.033,old_1,old_general
57,89.51,1.037,old_1,old_general
58,90.547,1.037,old_1,old_general
59,91.583,1.057,old_1,old_general
60,92.64,1.033,old_1,old_general
61,93.673,1.043,old_1,old_general
62,94.717,1.007,old_1,old_general
63,95.723,1.04,old_1,old_general
64,96.763,1.037,old_1,old_general
65,97.8,1.06,old_1,old_general
66,98.86,1.043,old_1,old_general
67,99.903,1.033,old_1,old_general
68,100.937,1.027,old_1,old_general
69,101.963,1.033,old_1,old_general
70,102.997,1.053,old_1,old_general
71,104.05,1.04,old_1,old_general
72,105.09,1.043,old_1,old_general
73,106.133,1.07,old_1,old_general
74,107.203,0.983,old_1,old_general
75,108.187,0.923,old_1,old_general
76,109.11,0.94,old_1,old_general
77,110.05,1.03,old_1,old_general
78,111.08,1.023,old_1,old_general
79,112.103,1.053,old_1,old_general
80,113.157,1.04,old_1,old_general
81,114.197,1.053,old_1,old_general
82,115.25,1.063,old_1,old_general
83,116.313,1.043,old_1,old_general
84,117.357,1.047,old_1,old_general
85,118.403,1.057,old_1,old_general
86,119.46,1.06,old_1,old_general
87,120.52,1.047,old_1,old_general
88,121.567,1.043,old_1,old_general
89,122.61,1.037,old_1,old_general
